 j=            0
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=          153
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=          154
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
